"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.60623","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"1","18.60556","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"2","18.60556","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"3","18.60537","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"4","18.60537","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"5","18.6054","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"6","18.6054","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"7","18.60505","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"8","18.60505","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"9","18.60514","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"10","18.60514","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"11","18.60487","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"12","18.60487","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"13","18.60477","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"14","18.60477","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"15","18.60565","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"16","18.60565","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"17","18.60527","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"18","18.60527","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"19","18.60502","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"20","18.60502","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"21","18.60446","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"22","18.60446","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"23","18.6051","8/28/2026 2:43:25 PM","8/28/2026 2:43:25 PM",
"24","18.6051","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"25","18.60466","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"26","18.60466","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"27","18.60442","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"28","18.60442","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"29","18.60478","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"30","18.60478","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"31","18.60412","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"32","18.60412","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"33","18.60507","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"34","18.60507","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"35","18.60442","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
"36","18.60442","8/28/2026 2:43:26 PM","8/28/2026 2:43:26 PM",
