"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.17726","9/2/2026 2:44:35 PM","9/2/2026 2:44:35 PM",
"1","18.17726","9/2/2026 2:44:35 PM","9/2/2026 2:44:35 PM",
"2","18.17762","9/2/2026 2:44:35 PM","9/2/2026 2:44:35 PM",
"3","18.17762","9/2/2026 2:44:35 PM","9/2/2026 2:44:35 PM",
"4","18.17725","9/2/2026 2:44:35 PM","9/2/2026 2:44:35 PM",
"5","18.17725","9/2/2026 2:44:35 PM","9/2/2026 2:44:35 PM",
"6","18.17686","9/2/2026 2:44:35 PM","9/2/2026 2:44:35 PM",
"7","18.17686","9/2/2026 2:44:35 PM","9/2/2026 2:44:35 PM",
"8","18.17712","9/2/2026 2:44:35 PM","9/2/2026 2:44:35 PM",
"9","18.17712","9/2/2026 2:44:35 PM","9/2/2026 2:44:35 PM",
"10","18.17733","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"11","18.17733","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"12","18.17588","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"13","18.17588","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"14","18.17633","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"15","18.17633","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"16","18.17732","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"17","18.17732","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"18","18.17664","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"19","18.17664","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"20","18.17678","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"21","18.17678","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"22","18.17697","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"23","18.17697","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"24","18.17698","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"25","18.17698","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"26","18.17586","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"27","18.17586","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"28","18.17583","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"29","18.17583","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"30","18.17691","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"31","18.17691","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"32","18.17542","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"33","18.17542","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"34","18.17698","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"35","18.17698","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"36","18.176","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"37","18.176","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"38","18.17661","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"39","18.17661","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"40","18.17664","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"41","18.17664","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"42","18.17769","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"43","18.17769","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"44","18.17675","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"45","18.17675","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"46","18.17677","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"47","18.17677","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"48","18.17741","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"49","18.17741","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"50","18.17654","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"51","18.17654","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"52","18.17687","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"53","18.17687","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"54","18.17703","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"55","18.17703","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"56","18.17746","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"57","18.17746","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"58","18.17596","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"59","18.17596","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"60","18.17618","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"61","18.17618","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"62","18.17609","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"63","18.17609","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"64","18.17635","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"65","18.17635","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"66","18.17692","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"67","18.17692","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"68","18.17688","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"69","18.17688","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"70","18.17743","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"71","18.17743","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"72","18.17743","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"73","18.17731","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"74","18.17731","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"75","18.178","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"76","18.178","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"77","18.1764","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"78","18.1764","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"79","18.17731","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"80","18.17731","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"81","18.17761","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"82","18.17761","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"83","18.1773","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"84","18.1773","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"85","18.17698","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"86","18.17698","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"87","18.17652","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
"88","18.17652","9/2/2026 2:44:36 PM","9/2/2026 2:44:36 PM",
