"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.59214","8/26/2026 1:35:37 PM","8/26/2026 1:35:37 PM",
"1","18.59214","8/26/2026 1:35:37 PM","8/26/2026 1:35:37 PM",
"2","18.59353","8/26/2026 1:35:37 PM","8/26/2026 1:35:37 PM",
"3","18.59353","8/26/2026 1:35:37 PM","8/26/2026 1:35:37 PM",
"4","18.59326","8/26/2026 1:35:37 PM","8/26/2026 1:35:37 PM",
"5","18.59326","8/26/2026 1:35:37 PM","8/26/2026 1:35:37 PM",
"6","18.59295","8/26/2026 1:35:37 PM","8/26/2026 1:35:37 PM",
"7","18.59295","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"8","18.59322","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"9","18.59322","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"10","18.59307","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"11","18.59307","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"12","18.59316","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"13","18.59316","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"14","18.5927","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"15","18.5927","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"16","18.59268","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"17","18.59268","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"18","18.59185","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"19","18.59185","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"20","18.59197","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"21","18.59197","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"22","18.59237","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"23","18.59237","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"24","18.59367","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"25","18.59367","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"26","18.59298","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"27","18.59298","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"28","18.5938","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"29","18.5938","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"30","18.59476","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"31","18.59476","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"32","18.59229","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"33","18.59229","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"34","18.59187","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"35","18.59187","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"36","18.59253","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"37","18.59253","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"38","18.59342","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"39","18.59342","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"40","18.59342","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"41","18.59318","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"42","18.59318","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"43","18.59302","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"44","18.59302","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"45","18.59335","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"46","18.59335","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"47","18.59271","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"48","18.59271","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"49","18.59264","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"50","18.59264","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"51","18.59429","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"52","18.59429","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"53","18.59287","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"54","18.59287","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"55","18.59275","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"56","18.59275","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"57","18.59285","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"58","18.59285","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"59","18.59268","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"60","18.59268","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"61","18.59271","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"62","18.59271","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"63","18.59332","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"64","18.59332","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"65","18.59299","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"66","18.59299","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"67","18.59323","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"68","18.59323","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"69","18.59202","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"70","18.59202","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"71","18.59303","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"72","18.59303","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"73","18.59335","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"74","18.59335","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"75","18.59381","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"76","18.59381","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"77","18.59378","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"78","18.59378","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"79","18.59257","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"80","18.59257","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"81","18.59265","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"82","18.59265","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"83","18.59352","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"84","18.59352","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"85","18.59329","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"86","18.59329","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"87","18.59341","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"88","18.59341","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"89","18.59268","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"90","18.59268","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"91","18.593","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"92","18.593","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"93","18.59301","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"94","18.59301","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"95","18.59294","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"96","18.59294","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"97","18.59222","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"98","18.59222","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
"99","18.59218","8/26/2026 1:35:38 PM","8/26/2026 1:35:38 PM",
