"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.27999","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"1","18.27999","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"2","18.27528","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"3","18.27528","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"4","18.27389","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"5","18.27389","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"6","18.27249","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"7","18.27249","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"8","18.27488","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"9","18.27488","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"10","18.2776","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"11","18.2776","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"12","18.28078","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"13","18.28078","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"14","18.28054","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"15","18.28054","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"16","18.2791","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"17","18.2791","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"18","18.27734","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"19","18.27734","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"20","18.27715","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"21","18.27715","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"22","18.27852","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"23","18.27852","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"24","18.27923","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"25","18.27923","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"26","18.27831","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"27","18.27831","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"28","18.27728","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"29","18.27728","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"30","18.27582","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"31","18.27582","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"32","18.27687","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"33","18.27687","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"34","18.27701","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"35","18.27701","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"36","18.27828","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"37","18.27828","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"38","18.27714","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"39","18.27714","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"40","18.27902","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"41","18.27902","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"42","18.27732","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"43","18.27732","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"44","18.27885","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"45","18.27885","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"46","18.27927","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"47","18.27927","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"48","18.27933","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"49","18.27933","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"50","18.27802","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"51","18.27802","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"52","18.27809","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"53","18.27809","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"54","18.2763","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"55","18.2763","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"56","18.27488","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"57","18.27488","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"58","18.27289","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"59","18.27289","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"60","18.27607","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"61","18.27607","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"62","18.27619","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"63","18.27619","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"64","18.27782","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"65","18.27782","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"66","18.27697","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"67","18.27697","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"68","18.27984","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"69","18.27984","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"70","18.27993","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"71","18.27993","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"72","18.2809","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"73","18.2809","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"74","18.27974","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"75","18.27974","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"76","18.27728","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"77","18.27728","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"78","18.27592","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"79","18.27592","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"80","18.27384","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"81","18.27384","9/2/2026 1:59:13 PM","9/2/2026 1:59:13 PM",
"82","18.27368","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"83","18.27368","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"84","18.2753","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"85","18.2753","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"86","18.2772","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"87","18.2772","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"88","18.27939","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"89","18.27939","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"90","18.27909","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"91","18.27909","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"92","18.27788","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"93","18.27788","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"94","18.27741","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"95","18.27741","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"96","18.27834","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"97","18.27834","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"98","18.27907","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"99","18.27907","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"100","18.27874","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"101","18.27874","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"102","18.27712","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"103","18.27712","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"104","18.27615","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"105","18.27615","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"106","18.27571","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"107","18.27571","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"108","18.27586","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"109","18.27586","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"110","18.27717","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"111","18.27717","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"112","18.27777","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"113","18.27777","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"114","18.2779","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"115","18.2779","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"116","18.27795","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"117","18.27795","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"118","18.27891","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"119","18.27891","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"120","18.27884","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"121","18.27884","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"122","18.27853","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"123","18.27853","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"124","18.27963","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"125","18.27963","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"126","18.27866","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"127","18.27866","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"128","18.27785","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"129","18.27785","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"130","18.27655","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"131","18.27655","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"132","18.27508","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"133","18.27525","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"134","18.27525","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"135","18.27511","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"136","18.27511","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"137","18.2773","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"138","18.2773","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"139","18.27837","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"140","18.27837","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"141","18.27765","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"142","18.27765","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"143","18.27847","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"144","18.27847","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"145","18.2792","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"146","18.2792","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"147","18.28125","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"148","18.28125","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"149","18.27856","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"150","18.27856","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"151","18.27681","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"152","18.27681","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"153","18.27448","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"154","18.27448","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"155","18.2726","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"156","18.2726","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"157","18.27344","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"158","18.27344","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"159","18.27494","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"160","18.27494","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"161","18.27655","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"162","18.27655","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"163","18.27843","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"164","18.27843","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"165","18.27837","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"166","18.27837","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
"167","18.27662","9/2/2026 1:59:14 PM","9/2/2026 1:59:14 PM",
